0 addr=08DF2B74 pc=08B3C2D0 lr=08B3C2C7 r0=08DF2B74 r1=00000008 old=08B84E7C new=00000000
32 addr=08B84E82 pc=08B3C21E lr=08B0FF93 r0=08B84E82 r1=00000006 old=0000008E new=00000000
33 addr=08B84E82 pc=08B3C1CE lr=08B0FF93 r0=00000300 r1=08B842E8 old=0000008E new=00000000
34 addr=08B84E82 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EA old=0000008E new=00000000
35 addr=08B84E82 pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B842EC old=0000008E new=00000000
36 addr=08B84E83 pc=08B3C1DA lr=08B0FF93 r0=08B842ED r1=0000008E old=0000004B new=00000000
37 addr=08B84E82 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EE old=0000008E new=00000000
38 addr=08B84E82 pc=08B3C1CE lr=08B0FF93 r0=00000092 r1=08B842F0 old=0000008E new=00000000
39 addr=08B84E82 pc=08B3C1CE lr=08B0FF93 r0=0000008A r1=08B842F2 old=0000008E new=00000000
40 addr=08B84E82 pc=08B3C1CE lr=08B0FF93 r0=0000008C r1=08B842F4 old=0000008E new=00000000
41 addr=08B84E82 pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B842F6 old=0000008E new=00000000
42 addr=08B84E82 pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B842F8 old=0000008E new=00000000
43 addr=08B84E82 pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B842FA old=0000008E new=00000000
44 addr=08B84E83 pc=08B3C1DA lr=08B0FF93 r0=08B842FB r1=0000008E old=0000004B new=00000000
45 addr=08B84E84 pc=08B3C21E lr=08B0FF93 r0=08B84E84 r1=00000008 old=00000000 new=00000000
46 addr=08DF2B74 pc=08B3C526 lr=08B14061 r0=08DF2B74 r1=0201AD38 old=08B84E7C new=00000000
47 addr=08B84E7C pc=08B3C14C lr=08B140CF r0=03000F20 r1=08B3C145 old=0000008C new=00000000
48 addr=08B84E7C pc=08B3C15A lr=08B140CF r0=0000008C r1=03000F46 old=0000008C new=00000000
49 addr=08B84E7D pc=08B3C162 lr=08B140CF r0=0000008C r1=00000001 old=000000DD new=00000000
50 addr=08B84E7D pc=08B3C16C lr=08B140CF r0=08B84E7D r1=01000000 old=000000DD new=00000000
51 addr=08B84E7D pc=08B3C15A lr=08B140CF r0=000000DD r1=03000F47 old=000000DD new=00000000
52 addr=08B84E7E pc=08B3C162 lr=08B140CF r0=000000DD r1=00000002 old=00000088 new=00000000
53 addr=08B84E7E pc=08B3C16C lr=08B140CF r0=08B84E7E r1=02000000 old=00000088 new=00000000
54 addr=08B84E7E pc=08B3C15A lr=08B140CF r0=00000088 r1=03000F48 old=00000088 new=00000000
55 addr=08B84E7F pc=08B3C162 lr=08B140CF r0=00000088 r1=00000003 old=0000004E new=00000000
56 addr=08B84E7F pc=08B3C16C lr=08B140CF r0=08B84E7F r1=03000000 old=0000004E new=00000000
57 addr=08B84E7F pc=08B3C15A lr=08B140CF r0=0000004E r1=03000F49 old=0000004E new=00000000
58 addr=08B84E80 pc=08B3C162 lr=08B140CF r0=0000004E r1=00000004 old=00000088 new=00000000
59 addr=08B84E80 pc=08B3C16C lr=08B140CF r0=08B84E80 r1=04000000 old=00000088 new=00000000
60 addr=08B84E80 pc=08B3C15A lr=08B140CF r0=00000088 r1=03000F4A old=00000088 new=00000000
61 addr=08B84E81 pc=08B3C162 lr=08B140CF r0=00000088 r1=00000005 old=00000049 new=00000000
62 addr=08B84E81 pc=08B3C16C lr=08B140CF r0=08B84E81 r1=05000000 old=00000049 new=00000000
63 addr=08B84E81 pc=08B3C15A lr=08B140CF r0=00000049 r1=03000F4B old=00000049 new=00000000
64 addr=08B84E82 pc=08B3C162 lr=08B140CF r0=00000049 r1=00000006 old=0000008E new=00000000
65 addr=08B84E82 pc=08B3C16C lr=08B140CF r0=08B84E82 r1=06000000 old=0000008E new=00000000
66 addr=08B84E82 pc=08B3C15A lr=08B140CF r0=0000008E r1=03000F4C old=0000008E new=00000000
67 addr=08B84E83 pc=08B3C162 lr=08B140CF r0=0000008E r1=00000007 old=0000004B new=00000000
68 addr=08B84E83 pc=08B3C16C lr=08B140CF r0=08B84E83 r1=07000000 old=0000004B new=00000000
69 addr=08B84E83 pc=08B3C15A lr=08B140CF r0=0000004B r1=03000F4D old=0000004B new=00000000
70 addr=08B84E84 pc=08B3C162 lr=08B140CF r0=0000004B r1=00000008 old=00000000 new=00000000
71 addr=08B84E84 pc=08B3C16C lr=08B140CF r0=08B84E84 r1=08000000 old=00000000 new=00000000
