0 addr=08DF2B64 pc=08B3C2D0 lr=08B3C2C7 r0=08DF2B64 r1=00000004 old=08B84ECC new=00000000
36 addr=08B84ECE pc=08B3C1CE lr=08B0FF93 r0=0000008F r1=08B84302 old=0000008B new=00000000
37 addr=08B84ECE pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B84304 old=0000008B new=00000000
38 addr=08B84ECE pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B84306 old=0000008B new=00000000
39 addr=08B84ECE pc=08B3C1CE lr=08B0FF93 r0=0000008B r1=08B84308 old=0000008B new=00000000
40 addr=08B84ECF pc=08B3C1DA lr=08B0FF93 r0=08B84309 r1=0000008B old=000000B7 new=00000000
41 addr=08B84ED0 pc=08B3C21E lr=08B0FF93 r0=08B84ED0 r1=00000004 old=00000000 new=00000000
42 addr=08DF2B64 pc=08B3C526 lr=08B14061 r0=08DF2B64 r1=0201AD38 old=08B84ECC new=00000000
43 addr=08B84ECC pc=08B3C14C lr=08B140CF r0=03000F20 r1=08B3C145 old=0000008E new=00000000
44 addr=08B84ECC pc=08B3C15A lr=08B140CF r0=0000008E r1=03000F46 old=0000008E new=00000000
45 addr=08B84ECD pc=08B3C162 lr=08B140CF r0=0000008E r1=00000001 old=0000004D new=00000000
46 addr=08B84ECD pc=08B3C16C lr=08B140CF r0=08B84ECD r1=01000000 old=0000004D new=00000000
47 addr=08B84ECD pc=08B3C15A lr=08B140CF r0=0000004D r1=03000F47 old=0000004D new=00000000
48 addr=08B84ECE pc=08B3C162 lr=08B140CF r0=0000004D r1=00000002 old=0000008B new=00000000
49 addr=08B84ECE pc=08B3C16C lr=08B140CF r0=08B84ECE r1=02000000 old=0000008B new=00000000
50 addr=08B84ECE pc=08B3C15A lr=08B140CF r0=0000008B r1=03000F48 old=0000008B new=00000000
51 addr=08B84ECF pc=08B3C162 lr=08B140CF r0=0000008B r1=00000003 old=000000B7 new=00000000
52 addr=08B84ECF pc=08B3C16C lr=08B140CF r0=08B84ECF r1=03000000 old=000000B7 new=00000000
53 addr=08B84ECF pc=08B3C15A lr=08B140CF r0=000000B7 r1=03000F49 old=000000B7 new=00000000
54 addr=08B84ED0 pc=08B3C162 lr=08B140CF r0=000000B7 r1=00000004 old=00000000 new=00000000
55 addr=08B84ED0 pc=08B3C16C lr=08B140CF r0=08B84ED0 r1=04000000 old=00000000 new=00000000
