0 addr=08DF2B60 pc=08B3C2D0 lr=08B3C2C7 r0=08DF2B60 r1=00000003 old=08B84EE0 new=00000000
27 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=00000092 r1=08B842F0 old=0000008C new=00000000
28 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008A r1=08B842F2 old=0000008C new=00000000
29 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008C r1=08B842F4 old=0000008C new=00000000
30 addr=08B84EE3 pc=08B3C1DA lr=08B0FF93 r0=08B842F5 r1=0000008C old=000000CD new=00000000
31 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B842F6 old=0000008C new=00000000
32 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B842F8 old=0000008C new=00000000
33 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B842FA old=0000008C new=00000000
34 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842FC old=0000008C new=00000000
35 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008D r1=08B842FE old=0000008C new=00000000
36 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008F r1=08B84300 old=0000008C new=00000000
37 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008F r1=08B84302 old=0000008C new=00000000
38 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B84304 old=0000008C new=00000000
39 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B84306 old=0000008C new=00000000
40 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008B r1=08B84308 old=0000008C new=00000000
41 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008D r1=08B8430A old=0000008C new=00000000
42 addr=08B84EE2 pc=08B3C1CE lr=08B0FF93 r0=0000008C r1=08B8430C old=0000008C new=00000000
43 addr=08B84EE3 pc=08B3C1DA lr=08B0FF93 r0=08B8430D r1=0000008C old=000000CD new=00000000
44 addr=08B84EE4 pc=08B3C21E lr=08B0FF93 r0=08B84EE4 r1=00000004 old=00000000 new=00000000
45 addr=08DF2B60 pc=08B3C526 lr=08B14061 r0=08DF2B60 r1=0201AD38 old=08B84EE0 new=00000000
46 addr=08B84EE0 pc=08B3C14C lr=08B140CF r0=03000F20 r1=08B3C145 old=0000008D new=00000000
47 addr=08B84EE0 pc=08B3C15A lr=08B140CF r0=0000008D r1=03000F46 old=0000008D new=00000000
48 addr=08B84EE1 pc=08B3C162 lr=08B140CF r0=0000008D r1=00000001 old=000000C6 new=00000000
49 addr=08B84EE1 pc=08B3C16C lr=08B140CF r0=08B84EE1 r1=01000000 old=000000C6 new=00000000
50 addr=08B84EE1 pc=08B3C15A lr=08B140CF r0=000000C6 r1=03000F47 old=000000C6 new=00000000
51 addr=08B84EE2 pc=08B3C162 lr=08B140CF r0=000000C6 r1=00000002 old=0000008C new=00000000
52 addr=08B84EE2 pc=08B3C16C lr=08B140CF r0=08B84EE2 r1=02000000 old=0000008C new=00000000
53 addr=08B84EE2 pc=08B3C15A lr=08B140CF r0=0000008C r1=03000F48 old=0000008C new=00000000
54 addr=08B84EE3 pc=08B3C162 lr=08B140CF r0=0000008C r1=00000003 old=000000CD new=00000000
55 addr=08B84EE3 pc=08B3C16C lr=08B140CF r0=08B84EE3 r1=03000000 old=000000CD new=00000000
56 addr=08B84EE3 pc=08B3C15A lr=08B140CF r0=000000CD r1=03000F49 old=000000CD new=00000000
57 addr=08B84EE4 pc=08B3C162 lr=08B140CF r0=000000CD r1=00000004 old=00000000 new=00000000
58 addr=08B84EE4 pc=08B3C16C lr=08B140CF r0=08B84EE4 r1=04000000 old=00000000 new=00000000
