0 addr=08DF2B58 pc=08B3C2D0 lr=08B3C2C7 r0=08DF2B58 r1=00000001 old=08B84F04 new=00000000
109 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EA old=0000008B new=00000000
110 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B842EC old=0000008B new=00000000
111 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842EE old=0000008B new=00000000
112 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=00000092 r1=08B842F0 old=0000008B new=00000000
113 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=0000008A r1=08B842F2 old=0000008B new=00000000
114 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=0000008C r1=08B842F4 old=0000008B new=00000000
115 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B842F6 old=0000008B new=00000000
116 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B842F8 old=0000008B new=00000000
117 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B842FA old=0000008B new=00000000
118 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=00000091 r1=08B842FC old=0000008B new=00000000
119 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=0000008D r1=08B842FE old=0000008B new=00000000
120 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=0000008F r1=08B84300 old=0000008B new=00000000
121 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=0000008F r1=08B84302 old=0000008B new=00000000
122 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=00000088 r1=08B84304 old=0000008B new=00000000
123 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=0000008E r1=08B84306 old=0000008B new=00000000
124 addr=08B84F0C pc=08B3C1CE lr=08B0FF93 r0=0000008B r1=08B84308 old=0000008B new=00000000
125 addr=08B84F0D pc=08B3C1DA lr=08B0FF93 r0=08B84309 r1=0000008B old=000000B7 new=00000000
126 addr=08B84F0E pc=08B3C21E lr=08B0FF93 r0=08B84F0E r1=0000000A old=00000000 new=00000000
127 addr=08DF2B58 pc=08B3C526 lr=08B14061 r0=08DF2B58 r1=0201AD38 old=08B84F04 new=00000000
128 addr=08B84F04 pc=08B3C14C lr=08B140CF r0=03000F20 r1=08B3C145 old=00000092 new=00000000
129 addr=08B84F04 pc=08B3C15A lr=08B140CF r0=00000092 r1=03000F46 old=00000092 new=00000000
130 addr=08B84F05 pc=08B3C162 lr=08B140CF r0=00000092 r1=00000001 old=000000A9 new=00000000
131 addr=08B84F05 pc=08B3C16C lr=08B140CF r0=08B84F05 r1=01000000 old=000000A9 new=00000000
132 addr=08B84F05 pc=08B3C15A lr=08B140CF r0=000000A9 r1=03000F47 old=000000A9 new=00000000
133 addr=08B84F06 pc=08B3C162 lr=08B140CF r0=000000A9 r1=00000002 old=0000008F new=00000000
134 addr=08B84F06 pc=08B3C16C lr=08B140CF r0=08B84F06 r1=02000000 old=0000008F new=00000000
135 addr=08B84F06 pc=08B3C15A lr=08B140CF r0=0000008F r1=03000F48 old=0000008F new=00000000
136 addr=08B84F07 pc=08B3C162 lr=08B140CF r0=0000008F r1=00000003 old=000000A2 new=00000000
137 addr=08B84F07 pc=08B3C16C lr=08B140CF r0=08B84F07 r1=03000000 old=000000A2 new=00000000
138 addr=08B84F07 pc=08B3C15A lr=08B140CF r0=000000A2 r1=03000F49 old=000000A2 new=00000000
139 addr=08B84F08 pc=08B3C162 lr=08B140CF r0=000000A2 r1=00000004 old=00000092 new=00000000
140 addr=08B84F08 pc=08B3C16C lr=08B140CF r0=08B84F08 r1=04000000 old=00000092 new=00000000
141 addr=08B84F08 pc=08B3C15A lr=08B140CF r0=00000092 r1=03000F4A old=00000092 new=00000000
142 addr=08B84F09 pc=08B3C162 lr=08B140CF r0=00000092 r1=00000005 old=00000067 new=00000000
143 addr=08B84F09 pc=08B3C16C lr=08B140CF r0=08B84F09 r1=05000000 old=00000067 new=00000000
144 addr=08B84F09 pc=08B3C15A lr=08B140CF r0=00000067 r1=03000F4B old=00000067 new=00000000
145 addr=08B84F0A pc=08B3C162 lr=08B140CF r0=00000067 r1=00000006 old=0000008D new=00000000
146 addr=08B84F0A pc=08B3C16C lr=08B140CF r0=08B84F0A r1=06000000 old=0000008D new=00000000
147 addr=08B84F0A pc=08B3C15A lr=08B140CF r0=0000008D r1=03000F4C old=0000008D new=00000000
148 addr=08B84F0B pc=08B3C162 lr=08B140CF r0=0000008D r1=00000007 old=000000EF new=00000000
149 addr=08B84F0B pc=08B3C16C lr=08B140CF r0=08B84F0B r1=07000000 old=000000EF new=00000000
150 addr=08B84F0B pc=08B3C15A lr=08B140CF r0=000000EF r1=03000F4D old=000000EF new=00000000
151 addr=08B84F0C pc=08B3C162 lr=08B140CF r0=000000EF r1=00000008 old=0000008B new=00000000
152 addr=08B84F0C pc=08B3C16C lr=08B140CF r0=08B84F0C r1=08000000 old=0000008B new=00000000
153 addr=08B84F0C pc=08B3C15A lr=08B140CF r0=0000008B r1=03000F4E old=0000008B new=00000000
154 addr=08B84F0D pc=08B3C162 lr=08B140CF r0=0000008B r1=00000009 old=000000B7 new=00000000
155 addr=08B84F0D pc=08B3C16C lr=08B140CF r0=08B84F0D r1=09000000 old=000000B7 new=00000000
156 addr=08B84F0D pc=08B3C15A lr=08B140CF r0=000000B7 r1=03000F4F old=000000B7 new=00000000
157 addr=08B84F0E pc=08B3C162 lr=08B140CF r0=000000B7 r1=0000000A old=00000000 new=00000000
158 addr=08B84F0E pc=08B3C16C lr=08B140CF r0=08B84F0E r1=0A000000 old=00000000 new=00000000
